;ug;loc;da;ti;tf;tm
341;Alagoas;Rural;Total;5,7;5,5;7,0
342;Alagoas;Total;Federal;;;6,1
343;Alagoas;Urbana;Federal;;;6,1
344;Alagoas;Total;Estadual;5,5;6,2;7,2
345;Alagoas;Urbana;Estadual;4,8;6,3;7,2
346;Alagoas;Rural;Estadual;5,9;5,3;7,0
347;Alagoas;Total;Municipal;6,2;5,4;
348;Alagoas;Urbana;Municipal;6,5;5,4;
349;Alagoas;Rural;Municipal;5,8;5,5;
350;Alagoas;Total;Privada;4,1;4,4;5,6
351;Alagoas;Urbana;Privada;4,1;4,4;5,6
352;Alagoas;Rural;Privada;4,0;4,2;5,3
353;Alagoas;Total;Pública;6,2;5,5;7,1
354;Alagoas;Urbana;Pública;6,5;5,5;7,1
355;Alagoas;Rural;Pública;5,8;5,5;7,0
356;Sergipe;Total;Total;5,7;5,5;7,6
357;Sergipe;Urbana;Total;5,6;5,3;7,6
358;Sergipe;Rural;Total;6,0;6,1;7,8
359;Sergipe;Total;Federal;;5,0;9,7
360;Sergipe;Urbana;Federal;;5,0;9,4
361;Sergipe;Rural;Federal;;;10,2
362;Sergipe;Total;Estadual;;5,6;7,9
363;Sergipe;Urbana;Estadual;;5,6;7,9
364;Sergipe;Rural;Estadual;;5,5;7,2
365;Sergipe;Total;Municipal;6,1;5,8;
366;Sergipe;Urbana;Municipal;6,2;5,6;
367;Sergipe;Rural;Municipal;6,0;6,1;
368;Sergipe;Total;Privada;4,5;4,8;5,8
369;Sergipe;Urbana;Privada;4,5;4,8;5,8
370;Sergipe;Rural;Privada;4,7;5,5;
371;Sergipe;Total;Pública;6,1;5,7;7,9
372;Sergipe;Urbana;Pública;6,2;5,6;7,9
373;Sergipe;Rural;Pública;6,0;6,1;7,8
374;Bahia;Total;Total;5,7;5,0;5,7
375;Bahia;Urbana;Total;5,8;4,9;5,6
376;Bahia;Rural;Total;5,4;5,1;6,2
377;Bahia;Total;Federal;;5,1;8,9
378;Bahia;Urbana;Federal;;5,1;9,0
379;Bahia;Rural;Federal;;;8,7
380;Bahia;Total;Estadual;4,5;4,9;5,5
381;Bahia;Urbana;Estadual;;4,9;5,5
382;Bahia;Rural;Estadual;4,5;4,5;5,3
383;Bahia;Total;Municipal;5,9;5,1;4,6
384;Bahia;Urbana;Municipal;6,2;5,1;3,7
385;Bahia;Rural;Municipal;5,4;5,1;4,9
386;Bahia;Total;Privada;4,9;4,6;6,2
387;Bahia;Urbana;Privada;4,9;4,5;5,8
388;Bahia;Rural;Privada;4,5;6,5;13,5
389;Bahia;Total;Pública;5,9;5,1;5,6
390;Bahia;Urbana;Pública;6,2;5,0;5,6
391;Bahia;Rural;Pública;5,4;5,1;5,5
392;Minas Gerais;Total;Total;6,1;4,9;6,0
393;Minas Gerais;Urbana;Total;6,2;4,9;5,9
394;Minas Gerais;Rural;Total;5,3;4,8;7,5
395;Minas Gerais;Total;Federal;4,0;5,3;9,7
396;Minas Gerais;Urbana;Federal;4,0;5,3;9,7
397;Minas Gerais;Rural;Federal;;;9,9
398;Minas Gerais;Total;Estadual;4,5;4,7;5,8
399;Minas Gerais;Urbana;Estadual;4,3;4,7;5,8
400;Minas Gerais;Rural;Estadual;4,5;4,8;5,1
401;Minas Gerais;Total;Municipal;6,1;5,0;5,4
402;Minas Gerais;Urbana;Municipal;6,2;5,0;5,4
403;Minas Gerais;Rural;Municipal;5,3;4,8;5,3
404;Minas Gerais;Total;Privada;6,2;4,8;5,9
405;Minas Gerais;Urbana;Privada;6,2;4,8;5,7
406;Minas Gerais;Rural;Privada;6,3;7,9;13,6
407;Minas Gerais;Total;Pública;6,1;4,9;6,0
408;Minas Gerais;Urbana;Pública;6,2;4,9;5,9
409;Minas Gerais;Rural;Pública;5,3;4,8;6,8
410;Espírito Santo;Total;Total;5,3;5,2;6,2
411;Espírito Santo;Urbana;Total;5,3;5,1;6,1
412;Espírito Santo;Rural;Total;5,5;5,5;8,1
413;Espírito Santo;Total;Federal;4,5;;7,1
414;Espírito Santo;Urbana;Federal;4,5;;6,4
415;Espírito Santo;Rural;Federal;;;9,3
416;Espírito Santo;Total;Estadual;;6,2;6,1
417;Espírito Santo;Urbana;Estadual;;6,2;6,1
418;Espírito Santo;Rural;Estadual;;6,1;6,2
419;Espírito Santo;Total;Municipal;5,3;5,0;
420;Espírito Santo;Urbana;Municipal;5,3;5,0;
421;Espírito Santo;Rural;Municipal;5,5;5,3;
422;Espírito Santo;Total;Privada;5,3;4,9;5,9
423;Espírito Santo;Urbana;Privada;5,3;4,8;5,5
424;Espírito Santo;Rural;Privada;8,7;10,0;10,0
425;Espírito Santo;Total;Pública;5,3;5,2;6,2
426;Espírito Santo;Urbana;Pública;5,3;5,2;6,1
427;Espírito Santo;Rural;Pública;5,5;5,4;7,5
428;Rio de Janeiro;Total;Total;5,8;5,0;6,0
429;Rio de Janeiro;Urbana;Total;5,8;5,0;6,0
430;Rio de Janeiro;Rural;Total;5,8;4,9;6,2
431;Rio de Janeiro;Total;Federal;7,8;5,1;7,7
432;Rio de Janeiro;Urbana;Federal;7,8;5,1;7,6
433;Rio de Janeiro;Rural;Federal;;;9,2
434;Rio de Janeiro;Total;Estadual;4,8;5,5;5,9
435;Rio de Janeiro;Urbana;Estadual;4,8;5,5;5,9
436;Rio de Janeiro;Rural;Estadual;;5,5;6,1
437;Rio de Janeiro;Total;Municipal;5,9;5,1;6,5
438;Rio de Janeiro;Urbana;Municipal;5,9;5,1;6,5
439;Rio de Janeiro;Rural;Municipal;5,8;4,9;
440;Rio de Janeiro;Total;Privada;5,7;4,7;6,1
441;Rio de Janeiro;Urbana;Privada;5,7;4,7;6,1
442;Rio de Janeiro;Rural;Privada;5,5;4,7;6,3
443;Rio de Janeiro;Total;Pública;5,9;5,2;6,0
444;Rio de Janeiro;Urbana;Pública;5,9;5,2;6,0
445;Rio de Janeiro;Rural;Pública;5,8;4,9;6,2
446;São Paulo;Total;Total;7,4;5,7;6,1
447;São Paulo;Urbana;Total;7,4;5,7;6,1
448;São Paulo;Rural;Total;6,0;5,8;6,3
449;São Paulo;Total;Federal;9,3;5,3;7,6
450;São Paulo;Urbana;Federal;10,9;5,3;7,6
451;São Paulo;Rural;Federal;4,0;;
452;São Paulo;Total;Estadual;8,5;6,2;6,2
453;São Paulo;Urbana;Estadual;9,1;6,2;6,2
